objectid,title,author,age_group,boy,girl,gender_neutral,required_cast,ensemble,length,date_published,publisher,licensing,copies,musical,adaptation,adaptation_of,description,colocated,notes,format
yppc_93,The Fifteen Minute Hamlet,"Stoppard, Tom",12-18,4,2,0,6,TRUE,16,1976,"Samuel French, Inc.",TRUE,4,FALSE,TRUE,Adapted from Shakespere's Hamlet.,"Hamlet, Prince of Denmark, deals with his father's death and mother's remarriage to his uncle.",,,record
yppc_94,Fifth of July,"Wilson, Lanford",12-18,4,4,0,8,FALSE,68,1980,Dramatists Play Service Inc.,TRUE,1,FALSE,FALSE,,"The scene is a sprawling farmhouse in rural Missouri, which is home to Ken, a legless Vietnam veteran, and his lover, Jed, a horticulturist. They are visited by Ken’s sister, June, and her teenage daughter, and by Gwen and John—the former a hard-drinking, pill-popping heiress who aspires to be a rock star, the latter her wary-eyed husband and manager. All are old friends from college days, and former activists who agitated for what they hoped would be a better world. The action centers on Gwen’s offer to buy the farm, which she plans to convert into a recording center, and on Ken’s Aunt Sally, who has come to the family homestead to scatter the ashes of her late husband. Their talk, as the play progresses, is sharp and funny and, in the final essence, deeply revealing of lost hopes and dreams and of the bitterness that must be fought back if one is to perceive the good that life can offer.",,,record
yppc_95,FOB,"Hwang, David Henry",14-18,2,1,0,3,FALSE,40,1980,Dramatists Play Service Inc.,TRUE,1,FALSE,FALSE,,"Grace and Dale are cousins, living in the Los Angeles area and attending college. Dale is fully American, second generation. Grace is first generation and holds the customs of China in higher regard. The arrival of Steve, an exchange student and a newcomer from China, fresh off the boat, forces them to confront a number of conflicting feelings about America, China and themselves. Dale is very confrontational with Steve, mocking his English and manner. And in turn Steve is defiant and even provocative. Grace tries to keep the conflict from escalating but finds herself increasingly drawn to Steve. Grace decides to go with Steve to a school dance and an uneasy truce, of sorts, is reached between Dale and Steve.",,,record
yppc_96,The Forgotten Door,"Falls, Gregory A.",10-18,7,4,3,14,FALSE,28,1981,"Anchorage Press, Inc.",TRUE,20,FALSE,TRUE,Based on the novel by Alexander Key.,"Jon, a boy from another world, accidentally falls through a forgotten door to Earth losing his memory, but retaining his ability to communicate with animals and hear people's thoughts. He is warned of danger by a deer and narrowly escapes peril throughout his adventure. He happens upon the farm of kindly Mary and Thomas Bean. Jon's supernatural abilities are almost immediately apparent to Mary, and she suspects he is otherworldly. Thomas is skeptical, at first. Word travels fast about a ""genius boy"" staying with the Bean's farm. Mary and Thomas realize there is precious little time to take Jon elsewhere before everyone from threatening neighbors to the CIA tries to get their hands on him. The military and the press are closing in on the house when Jon ""hears"" his father's voice calling him from their world. Jon realizes the door is open again, and without a moment to lose, the three of them steal away through the woods on a moonless night, guided by the voice of Jon's father to seek the forgotten door.",,,record
yppc_97,Abu Nuwas: Two Tales from Baghdad,"Winther, Barbara",06-12,3,2,2,7,TRUE,10,1976,"Plays, Inc.",FALSE,17,FALSE,TRUE,Adapted from some of the stories of 1001 Arabian Nights.,"In the first story, Abu Nuwas, a Persian poet who lived in Baghdad in the 700s CE, solves a dispute involving stolen shoes. In the second story, he tricks a man who lent him a defective cooking pot.",,,record
yppc_98,Five Funny and Fabulous Fables and a Couple of Silly Songs,"Stephens, Jeffryn",04-10,8,8,11,27,TRUE,16,1982,YPPC,FALSE,1,TRUE,TRUE,Adapted from Pandora's Jar.,"Pandora is given a box by the gods, but forbidden to open it. Ander's Cap is a story about a boy who rejects all kinds of gifts in favor of keeping the cap his mother made him.",,"Two plays and two songs, an adaptation of Hey Diddle Diddle and Herman.",record
yppc_99,Seven Simons,"Stephens, Jeffryn",04-10,0,0,8,8,FALSE,4,1984,YPPC,FALSE,4,FALSE,FALSE,,"Seven Simons went fishing, and thought they lost a Simon. A stranger helps them realize they miscounted.",,The second copy is part of the Stories and Stuff collection.,record
yppc_100,Stories and Stuff,"Stephens, Jeffryn",04-10,4,3,14,21,TRUE,15,1984,YPPC,FALSE,2,TRUE,TRUE,Adapted from Jack and the Robbers.,"Off to find his fortune, Jack meets a cat, dog, goat, bull and rooster, who help him recover a fortune from a gang of thieves. This also includes the Seven Simons play and The Castle of Frowns, a cautionary tale about a grumpy child.",,,record
yppc_101,The Lion and the Mice,"Stephens, Jeffryn",04-10,0,1,9,10,FALSE,4,1996,YPPC,FALSE,1,FALSE,TRUE,Adapted from The Lion and the Mouse.,A very unusual friendship develops between a lion and two mice.,,,record
yppc_102,All the Wealth One Needs,"Leonard, Joann",04-12,2,1,13,16,TRUE,12,Unknown,"Samuel French, Inc.",TRUE,33,FALSE,TRUE,Adapted from 1001 Arabian Nights.,"Based on A Thousand and One Arabian Nights, this story within a story tells how a young woman's courage and intelligence saves the day.",,,record
yppc_103,Andre's/Andrea's Hat,"Stephens, Jeffryn",04-10,1,5,3,9,FALSE,6,1984,YPPC,FALSE,2,FALSE,FALSE,,Andrea's Cap is a story about a girl who rejects all kinds of gifts in favor of keeping the cap her mother made her.,,,record
yppc_104,Bata's Lessons: A Tale from Ancient Egypt,"Winther, Barbara",10-14,3,3,7,13,TRUE,10,1976,"Plays, Inc.",FALSE,13,FALSE,TRUE,"A child-friendly adaptation from the Tale of the Two Brothers, an Egyptian myth that comes down to us from the reign of Seti II (reign 1200-1194 BCE).","The gods make a wife for Bata. They live in peace for a while, until he is murdered and his wife is kidnapped by the Pharaoh. Bata comes to her in the form of a bull to win her back.",,,record
yppc_105,The Big Toe: A Jump Tale,"Stephens, Jeffryn",04-10,1,1,8,10,TRUE,6,1994,YPPC,FALSE,17,FALSE,TRUE,An adaptation of The Big Toe from Scary Stories to Tell in the Dark by Alvin Schwartz,"A boy is frustrated with not having any meat for his dinner. When he is hoeing the garden, he comes across what looks like a big toe stuck in the dirt. He eats it for dinner, but the monster whose toe it was wants it back.",,,record
yppc_106,The Buffalo and the Bell,"Unknown,",04-12,1,2,4,7,TRUE,15,Unknown,Unknown,TRUE,3,FALSE,TRUE,"Appears to be an adaptation of The Buffalo and the Bell by Myra Scovel, published in 1963.","A trickster tale set in Indonesia. A man is sent to sell his buffalo, and is swindled by some of the men in the market. He swindles them in return.",,"This is copied from a book, but there is no author information. The section is titled Plays for Children to Perform.",record
yppc_107,The Castle of Frowns,"Stephens, Jeffryn",04-08,1,3,8,12,FALSE,5,1984,YPPC,FALSE,8,FALSE,FALSE,,Adults try to make a grumpy child less cranky. Happy shows the child that laughter and joy are contagious.,,,record
yppc_108,The Cat that Walked by Himself,"Stephens, Jeffryn",04-12,1,1,5,7,FALSE,10,2008,YPPC,FALSE,7,FALSE,TRUE,Adaptation of Rudyard Kipling's The Cat that Walked by Himself from the Just So Stories.,"How some animals became domesticated, and some less so.",,,record
yppc_109,City Mouse and Country Mouse,"Bennett, Rowena",04-08,0,0,5,5,FALSE,4,1987,Unknown,TRUE,1,FALSE,TRUE,Adaptation of City Mouse and Country Mouse.,"The Country Mouse is enjoying their life in the country, until their cousin visits. When they travel to their cousin's so they can show the Country Mouse the wonders of the city, they are threatened by cats and traps.",,,record
yppc_110,Five Foolish Freds,"Stephens, Jeffryn",04-10,0,0,6,6,FALSE,5,1988,YPPC,FALSE,10,FALSE,FALSE,,"Five Freds went fishing, and thought they lost a Fred. A stranger helps them realize they miscounted.",,"This is the same play as Seven Simons, just with a slightly smaller cast.",record
yppc_111,Follow the River Lai,"Winther, Barbara",04-10,7,2,0,9,TRUE,13,1976,"Plays, Inc.",FALSE,12,FALSE,TRUE,Based on the Vietnamese folktale.,Man searches for utopia and finds it. After living there he returns home to find a hundred years have passed; his old friend's son learns a lesson from the experience,,"Folder contains music for ""Grotto Maidens Song"" set to Mountain High, Valley Low, as well as two maps: one of Southwest Asia and one of Southeast Asia and a copy of a mid-1800s print of London.",record
yppc_112,The Golden Goose,"Stephens, Jeffryn",04-10,1,4,6,11,TRUE,9,1983,YPPC,FALSE,18,FALSE,TRUE,Based on the fairy tale The Golden Goose.,"The youngest of three is gifted a golden goose after an act of kindness. As they carry it home, people keep trying to pluck a golden feather from the goose and find themselves stuck.",,There are multiple versions of this script.,record
yppc_113,The Honorable Urashima Taro,"Jennings, Coleman A.",08-14,6,3,8,17,TRUE,32,1999,Dramatic Publishing,TRUE,7,FALSE,FALSE,,"A young fisherman rescues a venerable turtle from its tormentors. As a reward, he is taken to an undersea wonderland where he wins the favor of the princess and saves her kingdom from destruction by the wicked scorpion. The fisherman becomes a prince; years pass unnoticed; his village wife and children are driven from his mind. But still the homesick prince longs for the changing seasons of his village and begs the princess to let him go back. The fisherman/prince thinks that he's only been gone for a few days, but on his return to land, he makes the shattering discovery that many, many years have passed. The turtle calls to him that he can still return to the underwater world and to eternal youth but now he must make his choice",,,record
yppc_114,"Ijapa, the Tortoise: Two Tales from Nigeria","Winther, Barbara",04-12,6,3,0,9,TRUE,11,1976,"Plays, Inc.",FALSE,17,FALSE,TRUE,Based on two Nigerian folktales: The Dancing Palm and The Bush Spirit.,"Shrewd but lazy tortoise steals food from villagers, getting so greedy, until he is tricked and caught. A lazy toroise is foiled by bush spirits.",,,record
yppc_115,Jack and the Beanstalk,"Bridge, Dan",04-12,1,3,4,8,FALSE,11,Unknown,Little Big Theater,TRUE,1,FALSE,TRUE,Adaptation of Jack and the Beanstalk,"Jack and the Beanstalk set in Durham, but where the ogre doesn't die and instead builds Northgate Mall.",,,record
yppc_116,Gigi,"Loos, Anita",14-18,5,3,0,8,TRUE,27,1950,Concord Theatricals,TRUE,4,FALSE,TRUE,Based on a novel by Colette.,"In the elegant atmosphere of Paris in the 1890s, a wealthy and handsome aristocrat named Gaston falls for Gigi, a young and innocent girl raised to be a courtesan.",,,record
yppc_117,The Girl in the Coffin,"Dreiser, Theodore",12-18,4,3,0,7,FALSE,20,1917,Unknown,FALSE,3,FALSE,FALSE,,"One of the first labor dramas, a mill foreman loses his daughter and a strike leader loses his love.",,,record
yppc_118,The Girl Whose Fortune Sought Her,"Clapp, Patricia",08-12,1,3,2,6,FALSE,12,1985,Unknown,TRUE,1,FALSE,FALSE,,"Seeking something big to do with her life, young girl finds her fortune is growing right in front of her.",,"From Children's plays from favorite stories : royalty-free dramatizations of fables, fairy tales, folk tales, and legends
 by Kamerman, Sylvia E.",record
yppc_119,The Glass Menagerie,"Williams, Tennessee",12-18,2,2,0,4,FALSE,58,1944,Concord Theatricals,TRUE,1,FALSE,FALSE,,"From her cramped St. Louis apartment, Amanda Wingfield dreams of her days as a Southern debutante while worrying about the future of her aimless son Tom and unmarried daughter Laura. With their father absent and the Great Depression in motion, the siblings find comfort in their foibles — alcohol, movies and writing for Tom and a collection of glass animals for Laura — which only heightens Amanda’s anxiety. When a gentleman caller arrives for dinner, the Wingfields are flooded with hope. But it’s unclear if his presence will change things for the better or shatter their fragile illusions.",,This is only scene 3; it is in a folder with Act 2 of The Crucible.,record
yppc_120,God (A Comedy in One Act),"Allen, Woody",12-18,20,8,0,28,FALSE,54,1975,Concord Theatricals,TRUE,1,FALSE,FALSE,,"Set in an empty Greek amphitheater, this mad play within a play switches back and forth between ancient Athens and modern Broadway. A Greek actor and a writer are discussing how to end a play. Actors, including Doris Levine from Great Neck, Blanche DuBois, and Groucho Marx, pop out of the audience. Peppered with metaphysical and philosophical questions, the play skids along farcically until the actor and writer conclude that it lacks a beginning as well as an end.",,,record
yppc_121,The Gods of the Mountain,"Dunsany, Lord",08-18,0,0,10,10,TRUE,25,1911,Unknown,FALSE,2,FALSE,FALSE,,"“The Gods of the Mountain” tells the morality tale of beggars turned thieves who disguise themselves as the gods of a certain town wherein reside seven jade idols representing the local gods, and the consequences of hubris, greed, and the audacity of challenging said gods.",,,record
yppc_122,The Good Doctor,"Simon, Neil",14-18,3,2,0,5,TRUE,107,1973,"Samuel French, Inc.",TRUE,6,TRUE,TRUE,Adapted from and suggested by stories by Anton Chekhov.,"This Broadway hit, a composite of Neil Simon and Anton Chekhov, consists of a series of comic vignettes narrated by “The Writer.” In one sketch, a feisty old woman storms a bank and upbraids the manager for his gout and lack of money. In another, a father takes his son to a house to initiate him into the mysteries of sex, only to relent at the last moment and leave the boy more perplexed than ever. In another sketch, a crafty seducer goes to work on a wedded woman, only to realize that the woman has been in command from the first overture. And let us not forget the classic tale of a man who offers to drown himself for three rubles. The stories are droll, the portraits affectionate, the humor infectious and the fun unending.","Also located in the folder labeled ""Night of the Slaughtered Chicken"".",,record
yppc_123,The Goodbye Girl,"Simon, Neil",12-18,9,12,3,24,TRUE,98,1993,Concord Theatricals,TRUE,1,TRUE,TRUE,Based on the 1977 film The Goodbye Girl.,"New York dancer Paula McFadden and her 12-year-old daughter Lucy find themselves abandoned by Paula's most recent lover, Tony. Left with $400 of debt, they cancel their travel plans and decide to stay in their Upper West Side apartment. Unfortunately, Tony arranged for a subletter: eccentric actor Elliot Garfield, who claims a right to occupy the apartment. Can Paula, Lucy and Elliot learn to coexist in a cramped New York brownstone? Despite a rocky start and some hilarious complications, Paula and Elliot find love, and Lucy finally approves of the man in her mother's life.",,,record
yppc_124,"Goodbye, Howard","Linney, Romulus",10-18,2,4,0,6,TRUE,13,1968,Dramatists Play Service Inc.,TRUE,1,FALSE,FALSE,,"Set in a North Carolina hospital, where three aging (and rich) spinster sisters wait for news of their brother’s death. They are worried about how their mother (who must be 100) will react to the sad tidings an eventuality which is ameliorated by the intrusion of a brash young man who seems to lack the proper respect for the aged, and the dying.",,,record
yppc_125,The Grass Harp,"Elmslie, Kenward",08-18,7,7,0,14,FALSE,12,1971,Concord Theatricals,TRUE,2,TRUE,TRUE,Based on the novel by Truman Capote,"This story tells of Dollyheart, a sweet-natured spinster with a secret recipe for an elixir cure, and her demanding sister, Verena, who is determined to exploit the recipe for her own purposes. When tensions rise, Dollyheart leaves her sister's house with their orphaned teenage nephew Colin and housekeeper Catherine to take up residence in a tree house. It isn't long before other outcasts join their extended family, including the revivalist Babylove and the children who comprise her Miracle Show, and the dearly eccentric Judge Cool. The deep emotional currents of these shifting relationships lead to an uplifting, compelling reconciliation.",,This does not appear to be the complete play. These copies need preservation work.,record
yppc_126,The Groom's Ghost,"Irving, Washington",08-18,2,4,5,11,TRUE,8,1980s,Unknown,TRUE,8,FALSE,TRUE,Based on the Washington Irving story The Spectre Bridegroom,"A groom is murdered on the way to his wedding. While his friend tries to deliver the bad news, he is so entranced with the bride that he does not speak. As the wedding continues, the man becomes more and more upset. Finally he insists on leaving, telling the lord of the house that he cannot stay because he has an appointment the next morning at his own funeral.",,,record
yppc_127,It's Greek to Us,"Stephens, Jeffryn",04-10,4,6,7,17,FALSE,9,1984,YPPC,FALSE,2,FALSE,TRUE,Based on Greek mythology.,"A series of three short Greek myths, including Pandora's Jar, Admetus and Alcestis, and Baucis and Philemon.",,"In the back of the folder, following curriculum materials.",record
yppc_128,Halfway up the Tree,"Ustinov, Peter",10-18,5,4,0,9,FALSE,115,1967,"Samuel French, Inc.",TRUE,2,FALSE,FALSE,,"This timely satire on the everlasting generation gap is not content to dally with the problem, but boldly thrusts on by having the older generation beat the younger at its own game. It begins with the return from middle east duty of a general who finds he hardly recognizes his children. His son has embraced the new cult of the moment and his daughter is enceinte by persons unknown. Rather than rant and rave, the general looks into the matter. And, by george, he even adapts to it. The children protest that he is aping them and trying to shame them into going back into society; but no, he is in earnest as he climbs a tree and elevates the cult to new realms. Soon, everybody wants a tree to climb into.",,,record
yppc_129,The New Broom,"Hark, Mildred",04-10,3,3,4,10,FALSE,11,1955,"Boston Plays, Inc.",FALSE,2,FALSE,FALSE,,"A family is house hunting, and tours a house that is haunted. One of the daughters likes the spooky atmosphere, so she stays behind to clean up and overhears a coven of witches planning some Halloween mischief.",,"Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",record
yppc_130,Spooks in Books,"Hark, Mildred",04-10,2,1,6,9,TRUE,12,1955,"Boston Plays, Inc.",FALSE,2,FALSE,FALSE,,A group of children stays at the library past closing on Halloween. Ghosts and ghouls start to emerge from the books.,,"Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",record
yppc_131,The House is Haunted,"Hark, Mildred",04-10,5,5,1,11,TRUE,12,1955,"Boston Plays, Inc.",FALSE,4,FALSE,FALSE,,"A group of children are preparing for a Halloween party, but it turns out their house is haunted by an old man. Their mother is skeptical about the ghost, and the spooky noises turn out to be the father.",,"Two copies of this are versions that were adapted by Jeffryn Stephens. Published as Junior Plays for all Occasions, A Collection of Royalty-Free, One-Act Plays for Children by Mildred Hark (edited by Noel McQueen). Contained in a folder titled ""Halloween Plays""",record
yppc_132,Hanky Spanky Skiddeldy Doo: A Fantasy for Children,"Donavan, William",04-12,1,4,8,13,TRUE,68,1972,University of North Carolina at Chapel Hill,TRUE,2,FALSE,FALSE,,"A fairy tale similar to Toads and Diamonds. A girl is oppressed by her stepmother and stepsister, then lost in the woods. Her only friend, a sunflower, plots to get her back. Meanwhile, the girl is kind to the creatures she meets in the woods and makes friends who help her.",,This was submitted by William C. Donavan as their thesis for an MA in the Department of Dramatic Art in 1972.,record
yppc_133,Guys and Dolls Jr.,"Burrows, Abe",04-16,10,3,1,14,TRUE,87,1950,Music Theater International,TRUE,1,TRUE,TRUE,Adapted from Guys and Dolls by Damon Runyon.,"Guys and Dolls JR. follows gambler, Nathan Detroit, as he tries to find the cash to set up the biggest crap game in town while the authorities breathe down his neck. Meanwhile, his girlfriend and nightclub performer, Adelaide, laments that they've been engaged for fourteen years without ever getting married. Nathan turns to fellow gambler, Sky Masterson, for the dough, but Sky ends up chasing the straight-laced missionary, Sarah Brown. Guys and Dolls JR. takes us from the heart of Times Square to the cafes of Havana, but everyone eventually ends up right where they belong.",,"There is only one script, which appears to be fragmentary, and a workbook.",record
yppc_134,"Happy Birthday, Wanda June (Act 1 only)","Vonnegut, Jr., Kurt",12-18,5,2,2,9,FALSE,27,1970,"Samuel French, Inc.",TRUE,4,FALSE,FALSE,,"A woman with a little boy has two suitors: a doctor and a vacuum cleaner salesman. Her husband, a famous big-game hunter and adventurer, disappeared years ago in the Amazon. She is about to be declared a widow when in he walks, khaki breeches, puttees, and all, together with the pilot with whom he crashed in the Amazon valley. It happens to be his birthday, an event which all those present had decided to celebrate and for which they had just purchased a cake on the spur of the moment. The cake had been intended for somebody named Wanda June, who apparently never got to celebrate at all. The adventurer turns out to be a wild champion of havoc who alienates friends and demolishes violins. He fails in his effort to get his son to shoot him – the boy doesn’t believe in that kind of old-fashioned heroism – and then in his own effort to shoot himself. He is a social flop out.",,,record
yppc_135,The Happy Journey to Trenton and Camdel,"Wilder, Thornton",12-18,2,3,1,6,FALSE,22,1931,Unknown,TRUE,8,FALSE,FALSE,,"Almost the entire play takes place during an automobile journey from Newark to Camden, New Jersey by a family on their way to visit a married daughter, who has recently lost a baby in childbirth. Very little happens, but the father, mother, and children reminisce, joke, and sightsee and somehow, in classic Thornton Wilder fashion, capture something of the universal joy and sadness of life as they motor along.",,,record
yppc_136,Harlequinade,"Rattigan, Terence",12-18,9,5,0,14,FALSE,44,1948,"Samuel French, Inc.",TRUE,12,FALSE,FALSE,,One of two Shakespearean ham actors touring the provinces has a dubious and shady past. Presented on Broadway with The Browning Version,,,record
yppc_137,Harvey,"Chase, Mary",08-18,6,6,0,12,FALSE,71,1944,Dramatists Play Service Inc.,TRUE,8,FALSE,FALSE,,"Elwood P. Dowd insists on including his friend Harvey in all of his sister Veta’s social gatherings. Trouble is, Harvey is an imaginary six-and-a-half-foot-tall rabbit. To avoid future embarassment for her family—and especially for her daughter, Myrtle Mae—Veta decides to have Elwood committed to a sanitarium. At the sanitarium, a frantic Veta explains to the staff that her years of living with Elwood’s hallucination have caused her to see Harvey also, and so the doctors mistakenly commit her instead of her mild-mannered brother. The truth comes out, however; Veta is freed, and the search is on for Elwood, who eventually arrives at the sanitarium of his own volition, looking for Harvey. But it seems that Elwood and his invisible companion have had a strange influence on more than one of the doctors. Only at the end does Veta realize that maybe Harvey isn’t so bad after all.",,,record
yppc_138,Heidi,"Rogers, June Walker",04-12,3,9,0,12,FALSE,45,1969,Dramatic Publishing,TRUE,1,FALSE,TRUE,Based on the Johanni Spyri novel.,"At the opening we find Heidi happy in her mountain home, adored by her grandfather, and busy with his goat, Snowflake. Then suddenly, Aunt Dete arrives bringing with her the unpleasantness of the outside world and whisking Heidi off to Frankfort and the clutches of Miss Rottenmeier. Many of Heidi’s exciting adventures are faithfully retold in this fast moving story. Heidi’s poignant reunion with her grandfather concludes the play in a most satisfying manner.",,,record
yppc_139,The Heidi Chronicles,"Wasserstein, Wendy",14-18,3,5,0,8,FALSE,114,1988,Dramatists Play Service Inc.,TRUE,4,TRUE,FALSE,,"Comprised of a series of interrelated scenes, the play traces the coming of age of Heidi Holland, a successful art historian, as she tries to find her bearings in a rapidly changing world. Gradually distancing herself from her friends, she watches them move from the idealism and political radicalism of their college years through militant feminism and, eventually, back to the materialism that they had sought to reject in the first place. Heidi's own path to maturity involves an affair with the glib, arrogant Scoop Rosenbaum, a womanizing lawyer/publisher who eventually marries for money and position; a deeper but even more troubling relationship with a charming, witty young pediatrician, Peter Patrone, who turns out to be gay; and increasingly disturbing contacts with the other women, now much changed, who were a part of her childhood and college years. Eventually Heidi comes to accept the fact that liberation can be achieved only if one is true to oneself, with goals that come out of need rather than circumstance. As the play ends she is still ""alone,"" but having adopted an orphaned baby, it is clear that she has begun to find a sense of fulfillment and continuity that may well continue to elude the others of her anxious, self-centered generation.",,,record
yppc_140,The Hobbit,"Stephens, Jeffryn",04-14,4,0,41,45,TRUE,68,1990,YPPC,FALSE,7,TRUE,TRUE,Adapted from JRR Tolkien's The Hobbit.,"The Hobbit is set within Tolkien's Middle-earth and follows the quest of home-loving Bilbo Baggins, the titular hobbit, to win a share of the treasure guarded by a dragon named Smaug. Bilbo's journey takes him from his light-hearted, rural surroundings into more sinister territory.",,"This has been changed from the book very little, and has a lot of direct quotes. The Tolkien estate tends to be litigious, so erring on the side of caution until the copyright expiresin 2032 might be a good idea with this one.",record
yppc_141,The Hollow,"Christie, Agatha",10-18,6,6,0,12,FALSE,105,1951,"Samuel French, Inc.",TRUE,4,FALSE,TRUE,Adapted from Agatha Christie's novel The Hollow.,"An unhappy game of romantic follow-the-leader explodes into murder one weekend at The Hollow, home of Sir Henry and Lucy Angkatell. Dr. Cristow is at the center of the trouble when his mistress Henrietta, ex-mistress Veronica, and wife Gerda, simultaneously arrive at The Hollow. Add a protective butler, throw in a couple cousins, and you have a classic whodunnit. Try to beat the inspector to figure out who the killer is!",,,record
yppc_142,The House of Bernarda Alba,"Garcia Lorca, Federico",16-18,0,10,0,10,FALSE,54,2007,A.S. Kline,TRUE,3,FALSE,TRUE,Translation of Federico Garcia Lorca's final play.,"Forced to live under their mother’s tight grip as they mourn their father’s death, can five sisters survive when young Adela dares for passion and freedom?",,,record
yppc_143,Hunting Cockroaches,"Glowacki, Janusz",12-18,2,2,5,9,FALSE,11,1985,Concord Theatricals,TRUE,1,FALSE,FALSE,,"An off beat comedy about a contemporary immigrant couple from Poland who are having a hard time in their strange new country. Anka, a well known actress in Warsaw, can't get work because of her accent; Jan, a writer, is struggling with writer's block. As they try to get some sleep, flash backs bring characters from their past crawling from beneath the bed.",,,record
yppc_144,I Didn't Know That!,"Saldaña, Johnny",08-14,2,2,1,5,FALSE,28,1980,Dramatic Publishing,TRUE,5,FALSE,FALSE,,"I Didn't Know That! is a lighthearted revue of first facts, selected oddities and world records. The Guinness Book of World Records is incorporated in this creative and exciting new comedy for children. I Didn't Know That! presents more than 50 startling facts in a 35-minute, trivia-style revue. Audiences have ""oohed"" and ""ahhed"" in amazement to learn such fascinating facts as the first policewoman, the origins of superstitions and the world records for leapfrogging, sneezing and egg laying. Rapid-fire sketches and songs plus total reliance on ensemble acting make this comedy both simple and challenging to stage—and a world winner with young audiences.",,,record
yppc_145,I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944,"Raspanti, Celeste",12-18,4,7,2,13,TRUE,48,1994,Dramatic Publishing,TRUE,13,TRUE,TRUE,"Based on the book, I Never Saw Another Butterfly: Children’s Poems and Drawings from Terezin Concentration Camp 1942 - 1944 that was originally published in 1964","Over 15,000 children passed through the gates of Terezin, a concentration camp 30 miles north of Prague. Fewer than 100 survived. I Never Saw Another Butterfly, tells the story of the children of Terezin through the eyes of Raja Englandrova. Raja narrates and tells their story in flashbacks as she learns from Irena Synkova, a teacher who gives the children hope when there is no hope left and gives them the courage to write and draw about their experiences. We see the world of Terezin through their eyes, a world of laughter, of flowers, and of butterflies. From behind the barbed wire fences, teachers and students were able to show defiance; by learning even when it was forbidden, by drawing pictures of life as well as of death, and by writing poems about something bright and colorful they may have caught a glimpse of. The most famous symbol of hope was a yellow butterfly from a poem written by Pavel Friedman.",,,record
yppc_146,I Remember Mama,"Van Druten, John",08-18,9,13,0,22,FALSE,173,1944,"Samuel French, Inc.",TRUE,7,FALSE,TRUE,,"Mama, with the help of her husband and Uncle Chris, brings up the children in their modest San Francisco home during the early years of the 20th century. Mama, a sweet and capable manager, sees her children through childhood, manages to educate them, and helps one of her daughters begin her career as a writer. Mama's sisters and uncle furnish a rich background for a great deal of comedy and a little incidental tragedy, while the doings of the children keep everyone in pleasant turmoil.",,Some scripts may be fragmentary; some acts are physically separated.,record
yppc_147,The Ice Wolf,"Kraus, Joanna H.",04-18,8,7,0,15,TRUE,37,1991,Dramatic Publishing,TRUE,11,FALSE,TRUE,Based on East Coast Hudson Bay Inuit mythology.,"From the East Coast Hudson Bay Inuits comes an exciting, authentic tale of a pale-haired child, exiled by her own people because she was ""Anatou—the different one."" In a village ruled by spirits, shamans, superstition and myth, such a different one has no place. During a famine, her parents disappear in a storm, and Anatou is cast out by the community. She seeks out the forest, into which no Inuit goes, and begs the Wood God to turn her into a wolf.",,,record
yppc_148,"If You Don't Like My Ocean, Don't Fish in My Sea","Ranson, Rebecca",16-18,0,3,0,3,FALSE,25,1977,Pocket Theater,TRUE,1,TRUE,FALSE,,"Three women talk about their lives, men, and despair.",,"This is obviously a draft, and as such is fragmentary and in incredibly rough shape. The material is also probably not suited for a children's theater. If anyone is interested in seeing a less fragmentary copy, one exists in the archives of the North Carolina Collection at Durham County Library.",record
yppc_149,The Imaginary Invalid,"Moliere,",10-18,7,4,0,11,FALSE,11,1673,Unknown,FALSE,6,FALSE,FALSE,,"In Molière’s outrageous satire of medicine and its practitioners, the wealthy Argan, to put it mildly, enjoys poor health. Laxatives, suppositories, bloodlettings, and second and third opinions from the leading quacks are the order of his day—and hell on his wily, back-talking servant Toinette. His daughter Angélique is in love with the impoverished Cléante, but Argan wants to marry her to Thomas Diafoirus, a medical dunce who can assure his father-in-law a lifetime of health care. Cléante disguises himself as a music teacher to gain access to his love, but Béline, Argan’s mercenary second wife, threatens to expose them. A disguised Toinette, sage advice from his brother Béralde, and a faked death scene finally teach Argan where to place his trust. The play ends with Argan’s ceremonious, pig–Latin induction into the medical profession.",,,record
yppc_150,The Importance of Being Earnest,"Wilde , Oscar",08-18,5,4,0,9,FALSE,60,1895,Unknown,FALSE,4,FALSE,FALSE,,"The Importance of Being Earnest tells the story of Jack Worthing and Algernon Moncrieff who use clever deception and truth-bending to accommodate their social pursuits. Jack bends the truth to include an imaginary brother, Ernest, whom he uses as an excuse to escape from the country to party among urban socialites, while urbane Algernon uses a similar technique (Bunburying) that provides him opportunities for taking adventures in the country. Of course, courting and liaisons ensue, but not without complications. Oscar Wilde builds a farcical—albeit realistic—world of Victorian social mores by using double entendre, aphorisms, and witty repartee.",,,record
